name	division	rank	job	description	original_index	input_name	input_id
Mark Rolston	interactive	3	Founder, Argodesign	The former CCO at Frog, Mark Rolston was known for giving the industrial design firm incredible competence in digital interfaces, as evidenced by everything from Windows XP to Disney's Magic Bands. Today, Rolston has started argodesign to sell UX as a product. 	10	entry.2056356019	group_2056356019_11
Loren Brichter	interactive	4	Founder, Atebits	Pull to refresh. It's an integral gesture we make inside Twitter each day, and it was invented by Loren Brichter. Most recently, he consulted on Facebook's bold new app, Paper.	11	entry.2056356019	group_2056356019_12
Hiroshi Ishii	interactive	5	Head, Tangible Media Group at MIT Media Lab	He's not only the head of the Tangible Media Group at MIT Media Lab, Hiroshi Ishii pioneered the idea of touchable information, or what he calls &ldquo;Tangible Bits.&rdquo; If Jinha Lee is the apprentice of tactile interface, Hiroshi Ishii would be the master. 	12	entry.2056356019	group_2056356019_13
Ethan Marcotte	interactive	6	Independent designer 	Ethan Marcotte is the father of responsive web design, the ideology and technology that restyles webpages to look good and perform well on any desktop computer, phone, or whatever comes next.	13	entry.2056356019	group_2056356019_14
Lisa Strausfeld	interactive	7	Global Head of Data Visualization, Bloomberg	Interface design and information design. Are these fields really so different? Not to Lisa Stausfeld, who makes data visualization interactive at Bloomberg, and was just as comfortable building interfaces for landmark projects like One Laptop Per Child.	14	entry.2056356019	group_2056356019_15
Mike Bostock	interactive	8	Graphics Editor, the <cite>New York Times</cite>	If you've shared an incredible data visualization from the <cite>New York Times</cite> lately, Mike Bostock probably had a hand in it. Not only is he a graphics editor and designer, but he also wrote and supports D3.js, the Javascript library which drives many of the web's interactive graphics (including this bracket).	15	entry.2056356019	group_2056356019_16
Jonathan Ive	product	1	Senior Vice President of Design, Apple	Jonathan Ive designed many of Apple's most important products including the iPod, iPhone, and iPad. 	16	entry.2056356019	group_2056356019_17
Dieter Rams	product	2	Lead Designer, Braun and Vitsoe	Dieter Rams was the lead designer of German electronics maker Braun for more than 40 years, producing everything from hair dryers to radios. His &ldquo;The Ten Principles for Good Design&rdquo; has inspired many of today’s top industrial designers.	17	entry.2056356019	group_2056356019_18
Naoto Fukasawa	product	3	Founder, Naoto Fukasawa Design	Japanese industrial designer Naoto Fukasawa is best known for innovative takes on everyday objects, such as a wall-mounted CD player for MUJI and the INFOBAR mobile phone.	18	entry.2056356019	group_2056356019_19
Florence Knoll	product	4	Cofounder, Knoll Associates	Florence Knoll directed the interior design unit of Knoll Associates, which was responsible for the midcentury modern interiors of IBM, GM, and other major U.S. corporations. 	19	entry.2056356019	group_2056356019_20
Elon Musk	product	5	Chief Designer, SpaceX	Elon Musk co-founded PayPal, is the current CEO and the head of poduct design at Tesla Motors, is the chairman at SolarCity, and is CEO and Chief Designer of SpaceX, which is currently building innovative rockets and spacecrafts.	20	entry.2056356019	group_2056356019_21
James Dyson	product	6	Founder, Dyson LTD	Sir James Dyson is the world's most famous vacuum maker. His &ldquo;never loses suction&rdquo; vacuum is the top-selling vacuum cleaner in the world, and his company has since expanded into making better fans and hand dryers as well.	21	entry.2056356019	group_2056356019_22
Marc Newson	product	7	Founder, Marc Newson LTD	Sydney-born Marc Newson's futuristic, biomorphic style infuses everything from chaise longues to space jets. 	22	entry.2056356019	group_2056356019_23
Philippe Starck	product	8	Independent designer 	French designer Philippe Starck is best known for the plastic Louis Ghost chair and the decorative Juicy Salif juice squeezer. He also designs posh hotel and condo interiors. 	23	entry.2056356019	group_2056356019_24
Rem Koolhaas	architecture	1	Partner, Office for Metropolitan Architecture	Avant-garde architect and theorist Rem Koolhaas is as famous for his big, bold buildings, like the Seattle Public Library and the CCTV Tower in Beijing, as he is for his provocative writing; his book <cite>Delirious New York</cite> has influenced countless young architects. 	24	entry.2056356019	group_2056356019_25
Zaha Hadid	architecture	2	Founder, Zaha Hadid Architects	Baghdad-born Zaha Hadid is the first woman to win the prestigious Pritzker Prize, which she received in 2004 on the strength of projects like the Rosenthal Center for Contemporary Art in Cincinnati.	25	entry.2056356019	group_2056356019_26
Richard Meier	architecture	3	Managing Partner, Richard Meier & Partners Architects	If you've seen a white building that has lots of crisp geometric shapes, like the Getty Center in Los Angeles, chances are Richard Meier (or one of his copycats) designed it. He's now working on affordable housing and charter schools in Newark.	26	entry.2056356019	group_2056356019_27
David Adjaye	architecture	4	Founder, David Adjaye Associates	David Adjaye earned acclaim for designing Denver's Museum of Contemporary Art. He's currently designing the National Museum of African American History and Culture in D.C.	27	entry.2056356019	group_2056356019_28
Frank Gehry	architecture	5	Founder, Gehry Partners	"No architect’s name is more synonymous with starchitecture than Frank Gehry’s. Tourists flock to his most iconic buildings, including the Guggenheim Museum Bilbao in Spain and the EMP Museum in Seattle. Now, he's designing a campus for Facebook.
"	28	entry.2056356019	group_2056356019_29
Norman Foster	architecture	6	Founder and Chairman, Foster + Partners	Norman Foster is best known for his muscular glass-and-steel buildings, such as the Gherkin in London, the Hearst Tower in New York, and the renovated Reichstag in Berlin. 	29	entry.2056356019	group_2056356019_30
Peter Zumthor	architecture	7	Head, Peter Zumthor studio 	Minimal and austere, the architecture of Swiss-born Peter Zumthor is admired for what it doesn't show. His most significant buildings are the Therme Vals hotel in Switzerland and the Kunsthaus Bregenz gallery in Austria. 	30	entry.2056356019	group_2056356019_31
Renzo Piano	architecture	8	Founder, Renzo Piano Building Workshop 	Italian Renzo Piano first won renown for designing Paris's Centre Georges Pompidou in the 1970s with Richard Rogers. More recent projects include the  California Academy of Sciences in San Francisco and the Shard in London.	31	entry.2056356019	group_2056356019_32
